  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
the;0.055;0.413;0.016;0.087;0.001;0.081;0.002;0.001;0.259;0
of;0.729;0.001;0.009;0.006;0;0.007;0.049;0;0.042;0.017
in;0.001;0.589;0.052;0.059;0.11;0.004;0.049;0.012;0.014;0.035
and;0.469;0.129;0.088;0.1;0.122;0.028;0;0.01;0.037;0.005
to;0.073;0.052;0.323;0.066;0.282;0.009;0.003;0.004;0.07;0
Frontex;0.127;0.074;0.469;0.054;0;0.021;0.007;0.001;0.045;0.086
a;0.482;0.067;0.14;0.01;0.014;0.04;0.109;0.001;0;0.057
on;0.131;0.005;0.16;0.104;0.191;0.002;0.074;0.136;0.007;0.015
migrants;0.433;0.472;0;0.003;0.046;0.006;0.011;0.002;0.002;0.019
The;0;0.048;0.415;0.169;0.031;0.07;0;0.004;0.013;0.003
with;0.004;0.068;0.417;0;0.023;0.001;0.123;0.003;0.007;0.097
for;0.316;0.106;0.135;0.03;0.021;0.077;0.018;0.133;0.054;0.002
at;0.002;0.16;0.315;0.033;0.01;0.014;0.012;0.157;0.045;0.152
border;0.32;0.18;0.095;0.002;0.028;0.001;0.045;0.053;0.014;0.026
by;0.007;0.074;0.144;0;0.308;0.011;0.003;0.111;0;0.175
from;0.019;0.029;0.116;0.016;0.069;0.081;0.305;0.041;0.004;0.094
were;0.281;0.506;0.008;0.014;0.004;0.002;0.046;0.011;0.005;0.071
as;0.746;0.017;0.004;0;0.012;0.008;0.029;0.003;0.002;0
EU;0.11;0.011;0.176;0.177;0.004;0.002;0.046;0.007;0.121;0.103
is;0.502;0.107;0.006;0.04;0.003;0.02;0.152;0.005;0.015;0.04
will;0.387;0.026;0.203;0.003;0.048;0.15;0.046;0.032;0;0
was;0;0.085;0.187;0.002;0.087;0.001;0.248;0.003;0.038;0.078
number;0.805;0;0.015;0.001;0.003;0.047;0.01;0.014;0.007;0.047
0;0.311;0.398;0.066;0.084;0.046;0.025;0.002;0.03;0.01;0.007
borders;0.335;0.161;0.005;0.038;0.136;0.047;0.17;0;0.027;0.016
than;0.901;0.002;0.02;0.018;0.003;0;0.041;0.006;0.001;0.004
Leggeri;0.764;0.097;0;0.099;0.001;0.002;0.004;0.001;0.008;0.001
