"the";-0.0103;0.04602;-0.0283;0.51462;0.0056;0.03559;0.013;0.22394;-0.00154;0.00376;0.01252;0.35145;0.00178;0.00834;-0.00122;0.00472;-0.0224;1.90781;-0.00043;0.00074
"of";-0.09229;2.33266;-0.00261;0.00277;0.01017;0.07405;-0.00815;0.05565;0.00162;0.00263;-0.00885;0.1108;-0.0239;0.95281;-0.00191;0.00729;-0.02223;1.18732;-0.01412;0.49747
"in";0.00215;0.00076;-0.07388;1.31839;-0.02198;0.20592;-0.02337;0.27221;-0.03198;0.60675;-0.00639;0.03436;-0.02128;0.44957;-0.01067;0.13587;-0.01133;0.18356;-0.01814;0.48847
"and";-0.10197;2.19285;0.05344;0.89247;-0.04426;1.08081;-0.04702;1.42546;-0.05196;2.07305;-0.02476;0.66825;-0.00212;0.0058;-0.01456;0.32751;0.02869;1.52256;0.01073;0.22119
"to";-0.02532;0.10181;-0.02136;0.10732;-0.05316;1.17341;-0.02396;0.2786;0.04968;1.42668;-0.00876;0.06301;0.00488;0.02301;0.00591;0.04065;0.02474;0.85202;0.00189;0.00516
"Frontex";0.04429;0.1544;0.03372;0.13263;0.08501;1.48844;-0.02881;0.19975;-0.00129;0.00048;0.01794;0.13099;0.01026;0.05052;0.00375;0.00812;-0.02641;0.48146;0.0365;0.95554
"a";-0.08164;0.54453;-0.03036;0.11161;-0.0439;0.41189;0.01157;0.0334;-0.01377;0.0564;0.0236;0.23518;0.03878;0.74812;0.00291;0.00506;-0.00068;0.00033;0.02816;0.59032
"on";-0.04194;0.11681;-0.00854;0.00719;-0.0462;0.37091;-0.03736;0.28335;-0.05061;0.61949;-0.00459;0.00723;-0.03141;0.39916;0.04269;0.8871;-0.00969;0.05467;-0.01397;0.11809
"migrants";0.28963;2.83492;-0.30247;4.58177;0.00072;5e-05;-0.02244;0.052;-0.09453;1.0996;0.03379;0.19939;-0.04532;0.42286;-0.01791;0.07942;0.01968;0.11475;-0.06023;1.11705
"The";0.00057;2e-05;0.01925;0.03604;0.05679;0.55378;-0.03619;0.26276;-0.01558;0.05798;-0.02324;0.18323;-0.00029;3e-05;-0.00588;0.01664;0.01003;0.05795;0.00461;0.0127
"with";0.01008;0.0047;-0.03946;0.10665;0.09795;1.15996;-0.00134;0.00025;-0.02275;0.08706;-0.00426;0.00434;-0.05316;0.79542;0.00857;0.02489;0.01232;0.06154;0.0473;0.94204
"for";-0.07834;0.37635;0.04544;0.18763;-0.05117;0.42;-0.02429;0.11057;-0.02006;0.08982;-0.03859;0.472;0.01861;0.12941;-0.05085;1.16213;0.03237;0.56361;-0.00558;0.01741
"at";0.00853;0.00309;-0.06936;0.30277;-0.09741;1.05412;0.03148;0.12866;-0.01765;0.04814;0.02062;0.09334;-0.0192;0.09535;-0.06882;1.4742;0.03677;0.50353;0.06769;1.77287
"border";-0.08307;0.38999;0.06234;0.32541;-0.04536;0.30424;-0.00718;0.00891;-0.02479;0.12647;0.00536;0.0084;0.031;0.33085;0.03394;0.47699;0.01752;0.15219;-0.02381;0.29175
