   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	Dim 6	Dim 7	Dim 8	Dim 9	Dim 10	
the	-0.0103	-0.0283	0.0056	0.013	-0.0015	0.0125	0.0018	-0.0012	-0.0224	-4e-04	
of	-0.0923	-0.0026	0.0102	-0.0082	0.0016	-0.0088	-0.0239	-0.0019	-0.0222	-0.0141	
in	0.0022	-0.0739	-0.022	-0.0234	-0.032	-0.0064	-0.0213	-0.0107	-0.0113	-0.0181	
and	-0.102	0.0534	-0.0443	-0.047	-0.052	-0.0248	-0.0021	-0.0146	0.0287	0.0107	
to	-0.0253	-0.0214	-0.0532	-0.024	0.0497	-0.0088	0.0049	0.0059	0.0247	0.0019	
Frontex	0.0443	0.0337	0.085	-0.0288	-0.0013	0.0179	0.0103	0.0038	-0.0264	0.0365	
a	-0.0816	-0.0304	-0.0439	0.0116	-0.0138	0.0236	0.0388	0.0029	-7e-04	0.0282	
on	-0.0419	-0.0085	-0.0462	-0.0374	-0.0506	-0.0046	-0.0314	0.0427	-0.0097	-0.014	
migrants	0.2896	-0.3025	7e-04	-0.0224	-0.0945	0.0338	-0.0453	-0.0179	0.0197	-0.0602	
The	6e-04	0.0192	0.0568	-0.0362	-0.0156	-0.0232	-3e-04	-0.0059	0.01	0.0046	
with	0.0101	-0.0395	0.0979	-0.0013	-0.0227	-0.0043	-0.0532	0.0086	0.0123	0.0473	
for	-0.0783	0.0454	-0.0512	-0.0243	-0.0201	-0.0386	0.0186	-0.0509	0.0324	-0.0056	
at	0.0085	-0.0694	-0.0974	0.0315	-0.0176	0.0206	-0.0192	-0.0688	0.0368	0.0677	
border	-0.0831	0.0623	-0.0454	-0.0072	-0.0248	0.0054	0.031	0.0339	0.0175	-0.0238	
by	-0.0092	-0.0301	0.0419	-0.0012	0.0614	0.0118	-0.0056	-0.0369	-0.0024	0.0463	
from	0.0122	0.0152	0.0306	0.0114	0.0237	0.0256	0.0496	-0.0182	0.0057	-0.0275	
were	0.1505	-0.2018	0.0257	0.0334	0.0184	0.0127	-0.0606	0.0292	0.0191	-0.0758	
as	-0.1912	-0.0292	-0.0144	0.0048	-0.0239	-0.0193	0.0377	0.0119	-0.0096	-0.0017	
EU	-0.05	-0.0159	0.0632	0.0635	-0.0095	-0.0075	-0.0322	-0.0127	-0.0525	-0.0484	
is	-0.1367	0.0632	0.0145	0.0386	-0.0097	0.0273	0.0751	0.0139	-0.0233	0.0385	
will	-0.1305	0.0337	-0.0944	0.0117	0.0462	0.0814	0.045	0.0376	0.0031	0.0014	
was	0.0016	-0.0726	0.1074	-0.011	-0.0733	-0.0075	-0.1239	-0.0137	0.0485	0.0694	
number	0.343	-0.0085	-0.0464	-0.0134	0.0216	-0.0833	-0.0375	-0.0457	-0.0314	-0.0832	
0	0.2697	-0.3052	-0.1239	-0.1398	-0.1036	0.0759	-0.0198	0.0834	0.0487	0.0405	
borders	0.1301	-0.09	0.0165	0.044	0.0827	0.0486	0.0926	0.0017	0.0371	0.0288	
than	0.4125	-0.0194	-0.062	-0.0583	0.0228	0	-0.0875	0.0338	0.011	-0.0268	
Leggeri	0.5826	-0.2076	0.0088	-0.2093	-0.0254	0.0266	-0.0415	0.0161	0.0614	0.0232	
more	0.239	-0.0189	-0.0684	-0.0702	0.0387	-0.022	-0.002	0.0312	0.0066	0	
officers	0.3046	-0.1614	0.0714	-0.0127	-0.0478	-0.036	0.2362	0.003	0.1208	-0.0792	
Greek	0.3569	-0.4989	0.0333	0.0049	0.0904	-0.2373	0.1397	0.0266	0.0312	0.0216	
people	0.3814	-0.3668	0.0293	-0.2021	-0.043	-0.0855	-0.0909	-0.0874	0.0527	-0.0178	
Director	0.1823	-0.0512	0.1356	-0.0412	-0.0513	-0.0586	0.083	0.0053	-0.0025	0.0935	
that	-0.1069	0.006	0.0317	-0.0056	0.0512	0.0121	0.1219	0.0333	-0.0459	0.0375	
Greece	0.2561	-0.3471	0.0456	0.0584	0.1244	-0.2552	0.1934	0.016	-0.0139	0.0473	
are	-0.1364	-0.0397	0.0131	-0.0093	0.0499	-0.0502	0.126	0.0539	0.0298	0.0425	
have	0.0098	-0.1488	0.0612	0.0969	0.039	-0.016	0.0898	0.0767	0.088	0.0395	
this	0.0621	0.0913	-0.0256	-0.0353	0.0941	-0.0091	-0.0036	0.0039	0.0208	-0.0831	
also	0.0025	-0.0589	0.0455	-0.0614	0.006	-0.0067	0.0255	-0.0023	-0.0257	0.0286	
its	0.1536	0.0207	-0.0647	0.1	-0.0406	0.0925	0.0324	0.0588	0.0232	0.0234	
European	0.1338	0.3115	0.0686	-0.0248	0.0246	0.0111	-0.0287	-0.0613	0.0444	0.0561	
Executive	0.1899	-0.0512	0.1183	-0.0324	-0.0275	-0.0381	0.0819	0.0117	-0.0171	0.0903	
part	0.2153	-0.1353	0.1422	-0.0605	0.0076	-0.0055	0.0017	0.0813	0.1433	0.0482	
said	0.2543	-0.1968	0.0872	-0.0359	0.0315	-0.1186	0.1255	0.087	0.0085	0.0973	
year	0.3162	0.1479	-0.116	-0.032	-0.0035	0.0606	-0.0217	0.0549	-0.0823	-0.0652	
which	-0.0635	-0.0981	0.0065	0.0412	-0.0052	0.0416	-0.0589	0.1351	0.081	-0.0665	
who	0.2837	-0.2416	-0.0952	-0.1045	0.0252	-0.038	0.1318	9e-04	0.1524	-0.0829	
operations	0.0564	-0.181	0.0492	-0.0584	0.0032	0.0686	0.1341	0.0395	-0.0239	3e-04	
Fabrice	0.5973	-0.1055	0.0112	-0.1893	-0.0165	0.0311	-0.0245	0.0232	0.1203	0.0455	
an	-0.0683	-0.0031	0.0261	0.0341	0.0515	0.0213	0.0145	0.0243	0.055	-0.0458	
be	-0.3196	-0.0167	-0.1883	-0.0943	0.1058	0.0069	0.0385	0.0292	0.025	-0.0234	
vessels	0.3779	-0.4889	0.1082	-0.2716	-0.1157	0.2572	-0.0665	0.0946	0.0503	0.0867	
authorities	0.0648	0.0133	-0.0538	0.0131	-0.0896	-0.0202	-0.06	-0.0138	-0.0354	0.0833	
operation	3e-04	-0.1571	0.1954	0.0397	0.0848	0.1784	-0.0838	-0.0902	-0.0542	0.0117	
has	0.0299	-0.0859	0.057	0.109	0.0286	0.0639	0.0504	0.0298	-0.0316	0.0027	
rescue	0.4494	-0.5258	0.1738	-0.2938	-0.2009	0.0856	-0.0687	0.2032	0.119	0.1488	
In	0.2026	0.1142	-0.0848	0.1196	0.0139	0.1148	-0.0202	0.1094	-0.1268	-0.0385	
Italian	0.0773	-0.4142	-0.1627	0.221	-0.1162	0.0978	-0.2387	0.0575	0.1277	0.1344	
external	0.1394	-0.1015	0.0572	0.0682	0.1708	-0.0241	0.0546	-0.0236	-0.0573	-0.004	
Member	-0.2134	-0.023	0.2654	0.1789	0.2027	0.1547	-0.0089	-0.017	0.0264	-0.0462	
deployed	0.1446	-0.3281	0.1915	-0.0173	-0.0174	0.0785	0.0255	0.0554	0.0801	0.0787	
detected	0.2516	-0.0392	-0.1298	0.0867	0.1026	0.0411	0.0712	0.083	-0.0157	-0.0202	
Mediterranean	0.2357	0.1058	-0.0064	0.0597	0.1233	0.0305	0.0317	0.0613	-0.0368	-0.0974	
their	-0.0789	0.0617	-0.0103	-0.111	0.0981	-0.0186	0.06	-0.0599	0.1778	-0.1585	
States	-0.2177	-0.008	0.2954	0.1675	0.1736	0.1433	-0.0067	-0.0357	0.0281	-0.0603	
2015	0.5784	-0.5076	0.0474	-0.2924	-0.0645	-0.1918	-0.1361	-0.1606	-0.1154	-0.1799	
This	0.0532	0.0413	0.0888	-0.0132	-0.0565	-0.0743	0.0712	-0.03	0.007	0.0409	
islands	0.4845	-0.5637	0.0896	-0.1829	-0.0688	-0.1407	-0.0983	-0.0836	-0.0726	-0.0763	
Italy	0.0157	-0.1666	0.0329	0.1003	-0.0454	0.0236	-0.1331	0.0239	-0.078	-0.0409	
Western	0.3618	-0.0455	-0.0829	-0.0308	-0.053	-0.0577	-0.0908	-0.1265	-0.0839	0.0059	
increase	0.0914	-0.3949	-0.0769	0.1042	-0.0939	0.17	-1e-04	0.0485	0.0191	0.063	
last	0.4007	0.0878	-0.05	-0.0501	0.0451	0.034	-0.0043	0.2096	-0.0336	-0.1434	
two	0.0366	-0.0495	0.0459	-0.0747	-0.0824	0.0248	-0.0349	-0.0456	-0.0983	-0.0022	
detections	0.1861	-0.0428	-0.1444	0.1356	0.0227	-0.0583	-0.0213	-0.2046	0.0187	0.0637	
first	0.1543	0.1848	0.0207	0.1256	0.1754	-0.0843	0.0663	0.0769	0.0216	1e-04	
over	0.1068	-0.2739	-0.1374	0.0683	-0.2728	0.2401	0.3217	0.0846	0.0453	-0.0721	
Operation	0.0052	-0.4145	0.1179	0.2758	-0.1349	-0.1712	-0.2935	0.2748	0.0939	0.1702	
activities	-0.0716	0.1374	0.1867	-0.057	-0.0683	0.1306	-0.1037	0.0162	-0.0181	0.0102	
guards	0.0297	0.0209	0.1004	-0.0123	-0.2143	0.0052	0.0722	0.1146	0.1282	-0.0573	
one	-0.1224	-0.1018	0.1927	-0.0699	0.1021	0.2522	-0.046	0.062	-0.0431	0.0791	
it	-0.1329	-0.1185	0.057	-0.0579	0.1175	0.2269	0.0476	-0.0506	-0.012	-0.0115	
Turkey	0.2573	-0.3379	-0.0633	0.1367	-0.0442	-0.1436	-0.0436	-0.0687	-0.0711	-0.0372	
between	-0.2154	-0.0207	0.1067	-0.0039	-0.2282	-0.1781	-0.102	0.0396	-0.0238	-0.1396	
other	-0.0875	-0.0906	0.0076	-0.0687	0.0267	0.0405	-0.0353	-0.0913	-0.0325	-0.0162	
some	0.1617	-0.3018	0.0366	-0.0116	0.0122	0.1201	0.0341	0.2464	-0.1456	-0.0576	
all	-0.0525	0.0288	0.0134	-0.0533	0.0283	-0.0568	0.0872	-0.1268	0.0462	-0.0992	
he	0.0322	-0.2064	0.08	-0.0255	0.03	-0.0491	0.277	0.1444	0.0296	0.1945	
been	-0.0349	-0.1221	0.1073	0.1753	-0.0021	0.0128	0.0251	0.1592	0.0058	0.0413	
countries	0.0272	0.1099	0.1571	-0.0639	-0.1136	-0.035	-0.01	-0.1411	-0.133	0.0365	
new	0.0617	-0.0081	-0.0357	-0.1367	0.1545	0.0942	-0.0255	0.0401	-0.0079	-0.0231	
most	0.0155	-0.3311	-0.1897	0.0892	-0.0467	-0.0335	-0.0499	-0.056	-0.0773	0.0372	
operational	-0.244	-0.0185	0.0764	0.1109	0.137	-0.0272	0.0044	0.1207	-0.0142	0.0023	
well	-0.1865	-0.0232	0.0393	-0.0161	-0.06	-0.0384	0.0055	-0.0263	-0.061	0.0023	
Guard	0.4612	0.5314	-0.0165	-0.0413	-0.0079	-0.0219	-0.0739	-0.0071	0.0943	0.0592	
coast	0.2658	0.1921	0.0944	-0.1091	-0.1321	0.0608	-0.2165	0.0795	0.0753	0.2271	
illegal	0.0989	0.1086	0.1159	0.0246	0.2304	0.0274	-0.0346	-0.0837	-0.049	-0.0593	
migratory	0.2743	0.2662	-0.1588	0.1945	0.0143	0.0405	-0.1307	0.2217	-0.0388	0.0288	
period	0.3365	-0.0113	0.0304	0.0253	0.0828	0.0196	0.0627	0.0883	0.0752	0.0304	
I	0.0535	-0.1852	0.2532	0.009	0.2841	0.2827	-0.018	-0.0967	-0.0699	-0.0024	
agency	0.1974	0.1292	0.0421	-0.1015	0.0729	0.2719	-0.1237	-0.0585	-0.0953	0.0654	
national	-0.0127	0.1	0.0717	-0.133	0.0727	0.1543	-0.0544	0.0623	-0.0572	0.0871	
place	-0.1222	-0.0614	0.1366	-0.1869	-0.0853	0.0161	0.0314	0.037	0.0356	-0.0115	
route	0.2938	0.1965	-0.1698	-0.0229	0.2287	-0.1494	0.04	-0.08	-0.0651	-0.0525	
same	0.2565	0.1024	-0.0436	0.0119	-0.072	0.0372	-0.0273	0.1294	-0.1601	-0.191	
provide	0.1461	-0.0469	-0.0316	0.0776	0.0799	-0.0603	-0.0118	0.0468	0.0756	0.0106	
we	-0.007	-0.0453	0.1371	0.063	0.3156	0.1574	0.1075	-0.0704	0.0448	0.0611	
