"x"	"y"	"groupe"	"color"
"the"	-0.0103	-0.0283	1	"#FF0000FF"
"of"	-0.0923	-0.0026	1	"#FF0000FF"
"in"	0.0022	-0.0739	1	"#FF0000FF"
"and"	-0.102	0.0534	1	"#FF0000FF"
"to"	-0.0253	-0.0214	1	"#FF0000FF"
"Frontex"	0.0443	0.0337	1	"#FF0000FF"
"a"	-0.0816	-0.0304	1	"#FF0000FF"
"on"	-0.0419	-0.0085	1	"#FF0000FF"
"migrants"	0.2896	-0.3025	2	"#80FF00FF"
"The"	6e-04	0.0192	1	"#FF0000FF"
"with"	0.0101	-0.0395	1	"#FF0000FF"
"for"	-0.0783	0.0454	1	"#FF0000FF"
"at"	0.0085	-0.0694	1	"#FF0000FF"
"border"	-0.0831	0.0623	1	"#FF0000FF"
"by"	-0.0092	-0.0301	1	"#FF0000FF"
"from"	0.0122	0.0152	1	"#FF0000FF"
"were"	0.1505	-0.2018	1	"#FF0000FF"
"as"	-0.1912	-0.0292	1	"#FF0000FF"
"EU"	-0.05	-0.0159	1	"#FF0000FF"
"is"	-0.1367	0.0632	1	"#FF0000FF"
"will"	-0.1305	0.0337	1	"#FF0000FF"
"was"	0.0016	-0.0726	1	"#FF0000FF"
"number"	0.343	-0.0085	2	"#80FF00FF"
"0"	0.2697	-0.3052	2	"#80FF00FF"
"borders"	0.1301	-0.09	1	"#FF0000FF"
"than"	0.4125	-0.0194	2	"#80FF00FF"
"Leggeri"	0.5826	-0.2076	2	"#80FF00FF"
"more"	0.239	-0.0189	2	"#80FF00FF"
"officers"	0.3046	-0.1614	2	"#80FF00FF"
"Greek"	0.3569	-0.4989	2	"#80FF00FF"
"people"	0.3814	-0.3668	2	"#80FF00FF"
"Director"	0.1823	-0.0512	1	"#FF0000FF"
"that"	-0.1069	0.006	1	"#FF0000FF"
"Greece"	0.2561	-0.3471	2	"#80FF00FF"
"are"	-0.1364	-0.0397	1	"#FF0000FF"
"have"	0.0098	-0.1488	1	"#FF0000FF"
"this"	0.0621	0.0913	1	"#FF0000FF"
"also"	0.0025	-0.0589	1	"#FF0000FF"
"its"	0.1536	0.0207	3	"#00FFFFFF"
"European"	0.1338	0.3115	3	"#00FFFFFF"
"Executive"	0.1899	-0.0512	1	"#FF0000FF"
"part"	0.2153	-0.1353	1	"#FF0000FF"
"said"	0.2543	-0.1968	1	"#FF0000FF"
"year"	0.3162	0.1479	3	"#00FFFFFF"
"which"	-0.0635	-0.0981	1	"#FF0000FF"
"who"	0.2837	-0.2416	2	"#80FF00FF"
"operations"	0.0564	-0.181	1	"#FF0000FF"
"Fabrice"	0.5973	-0.1055	2	"#80FF00FF"
"an"	-0.0683	-0.0031	1	"#FF0000FF"
"be"	-0.3196	-0.0167	4	"#8000FFFF"
"vessels"	0.3779	-0.4889	2	"#80FF00FF"
"authorities"	0.0648	0.0133	1	"#FF0000FF"
"operation"	3e-04	-0.1571	1	"#FF0000FF"
"has"	0.0299	-0.0859	1	"#FF0000FF"
"rescue"	0.4494	-0.5258	2	"#80FF00FF"
"In"	0.2026	0.1142	3	"#00FFFFFF"
"Italian"	0.0773	-0.4142	1	"#FF0000FF"
"external"	0.1394	-0.1015	1	"#FF0000FF"
"Member"	-0.2134	-0.023	1	"#FF0000FF"
"deployed"	0.1446	-0.3281	1	"#FF0000FF"
"detected"	0.2516	-0.0392	3	"#00FFFFFF"
"Mediterranean"	0.2357	0.1058	3	"#00FFFFFF"
"their"	-0.0789	0.0617	1	"#FF0000FF"
"States"	-0.2177	-0.008	1	"#FF0000FF"
"2015"	0.5784	-0.5076	2	"#80FF00FF"
"This"	0.0532	0.0413	1	"#FF0000FF"
"islands"	0.4845	-0.5637	2	"#80FF00FF"
"Italy"	0.0157	-0.1666	1	"#FF0000FF"
"Western"	0.3618	-0.0455	2	"#80FF00FF"
"increase"	0.0914	-0.3949	1	"#FF0000FF"
"last"	0.4007	0.0878	3	"#00FFFFFF"
"two"	0.0366	-0.0495	1	"#FF0000FF"
"detections"	0.1861	-0.0428	1	"#FF0000FF"
"first"	0.1543	0.1848	3	"#00FFFFFF"
"over"	0.1068	-0.2739	1	"#FF0000FF"
"Operation"	0.0052	-0.4145	1	"#FF0000FF"
"activities"	-0.0716	0.1374	1	"#FF0000FF"
"guards"	0.0297	0.0209	1	"#FF0000FF"
