"Lemmes","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"the",55,505,180,243,466,629,562,543,442,1497,777,499,374,697,279,7748
"of",48,350,145,208,281,415,353,451,273,802,480,277,230,433,149,4895
"in",21,147,81,75,154,234,199,228,180,633,324,198,116,240,83,2913
"and",33,188,127,152,207,278,304,422,204,577,313,281,145,416,122,3769
"to",25,168,52,72,179,229,170,288,142,542,274,180,126,260,130,2837
"Frontex",9,108,34,57,85,75,85,71,66,272,143,121,71,152,58,1407
"a",5,93,38,37,102,126,122,137,90,269,111,102,55,125,48,1460
"on",8,60,36,37,59,97,85,120,54,231,112,95,64,101,28,1187
"migrants",4,16,2,5,12,47,41,10,25,228,102,34,19,42,17,604
"The",5,76,47,43,66,77,70,82,56,223,121,82,50,129,46,1173
"with",11,58,21,35,53,68,42,41,37,178,80,73,28,80,21,826
"for",8,51,42,30,69,83,83,112,72,163,101,79,36,121,46,1096
"at",5,30,8,12,45,76,54,62,57,160,67,45,22,93,23,759
"border",3,54,44,30,56,80,82,99,64,158,70,75,53,94,48,1010
"by",5,69,17,21,58,65,41,58,42,156,85,57,28,84,30,816
"from",4,57,22,16,45,52,57,50,31,136,77,48,36,76,37,744
"were",4,21,6,7,16,41,20,13,20,118,57,26,16,19,19,403
"as",8,51,29,21,64,66,63,82,38,115,52,53,23,48,12,725
"EU",5,47,28,22,40,64,46,32,47,107,71,45,31,48,22,655
"is",2,61,29,22,64,60,67,65,42,102,43,61,34,70,25,747
"will",0,54,15,17,37,61,59,79,46,100,39,47,35,51,36,676
"was",4,23,17,21,16,40,17,19,27,99,34,19,12,55,5,408
"number",2,4,3,5,12,21,16,11,14,94,75,20,32,52,25,386
"0",0,1,0,0,5,12,11,14,13,92,23,17,8,15,5,216
"borders",0,25,3,5,24,26,23,15,16,90,35,14,16,37,24,353
"than",2,2,0,1,5,14,4,6,12,83,43,26,24,36,18,276
"Leggeri",0,0,0,0,0,0,0,0,7,81,30,10,11,27,10,176
"more",2,6,4,2,16,14,9,17,17,80,37,26,21,34,18,303
"officers",0,7,4,3,15,6,24,2,0,78,35,13,5,19,22,233
"Greek",0,0,0,0,23,12,3,2,3,77,35,2,1,5,9,172
"people",0,4,1,1,3,7,2,8,2,73,40,8,1,17,3,170
"Director",0,12,6,14,19,8,16,4,10,72,30,11,12,37,12,263
"that",1,38,12,17,40,25,36,38,25,72,30,23,21,34,20,432
"Greece",0,2,1,3,32,13,6,2,8,70,36,5,3,7,14,202
"are",3,28,10,15,40,27,30,42,11,70,25,17,13,29,16,376
"have",1,18,4,12,23,29,21,13,9,70,21,10,7,18,18,274
"this",6,23,11,11,18,25,21,34,23,69,46,22,31,48,31,419
"also",1,21,9,12,21,17,18,20,24,68,33,27,9,22,14,316
"its",1,11,4,1,15,27,24,11,13,68,19,23,23,37,14,291
"European",3,45,22,18,28,28,25,30,21,67,66,85,44,129,45,656
"Executive",0,12,5,11,18,8,14,4,10,67,27,10,13,34,11,244
"part",1,12,3,8,9,12,6,5,1,65,22,17,4,18,13,196
"said",0,4,4,5,20,7,5,3,7,65,20,5,9,19,9,182
"year",1,8,1,0,6,12,18,15,11,65,43,34,39,42,19,314
"which",3,15,11,9,10,32,16,20,15,63,14,14,13,13,12,260
"who",0,2,0,1,6,7,12,12,4,61,27,6,3,12,16,169
"operations",0,17,5,1,16,9,16,13,7,60,20,13,7,11,6,201
"Fabrice",0,0,0,0,0,0,0,0,3,59,21,10,9,25,10,137
"an",6,25,11,7,24,31,22,26,16,59,25,27,13,24,17,333
"be",2,41,11,18,33,46,41,102,40,59,33,33,12,14,27,512
"vessels",1,6,0,0,0,1,2,0,8,59,9,10,1,5,0,102
"authorities",2,10,2,9,18,25,20,20,13,57,33,33,15,35,4,296
"operation",7,29,3,5,13,19,11,2,20,56,19,8,8,22,2,224
"has",1,20,4,8,17,24,21,7,16,55,22,12,13,18,13,251
"rescue",0,2,0,4,0,1,1,0,1,52,9,5,1,6,0,82
"In",1,12,1,2,10,22,19,7,14,48,23,21,35,29,13,257
"Italian",0,0,0,1,3,29,6,4,14,48,6,6,1,9,0,127
"external",0,18,2,3,19,17,8,6,12,48,32,10,11,16,15,217
"Member",4,74,15,13,26,53,25,16,11,47,27,12,11,25,20,379
"deployed",0,10,2,5,6,9,6,0,6,46,11,5,0,7,5,118
"detected",0,3,0,1,10,14,10,5,16,46,16,7,17,17,17,179
"Mediterranean",0,13,6,1,10,15,10,6,11,44,28,14,25,26,21,230
"their",9,16,13,3,15,13,17,33,13,44,23,16,6,27,22,270
"States",4,70,18,13,24,48,25,13,11,43,27,12,9,26,18,361
"2015",0,0,0,0,0,0,0,1,2,42,33,5,1,3,1,88
"This",2,10,7,11,18,10,17,9,11,42,24,18,8,27,11,225
"islands",0,1,0,1,2,3,1,0,2,41,24,1,1,4,0,81
