"id","title","date"
"-frontex-and-the-us-department-of-homeland-security-3TeBA3"," Frontex and the US Department of Homeland Security","2009-04-29"
"13-800-migrants-rescued-in-central-med-last-week-ACfEBV","13 800 migrants rescued in Central Med last week","2016-05-30"
"2-400-migrants-rescued-off-libyan-coast-before-easter-8k1Cj9","2 400 migrants rescued off Libyan coast before Easter","2015-04-08"
"23-000-migrants-arrived-in-greece-last-week-vQZzyE","23 000 migrants arrived in Greece last week","2015-09-01"
"23-smugglers-arrested-drugs-and-cigarettes-seized-during-frontex-led-operation-PIk7rS","23 smugglers arrested, drugs and cigarettes seized during Frontex-led operation","2018-06-29"
"24-people-smugglers-arrested-in-frontex-coordinated-operation-at-europe-s-land-borders-KbcPwx","24 people smugglers arrested in Frontex-coordinated operation at Europe's land borders","2017-10-16"
"26-people-smugglers-arrested-in-10-days-in-a-frontex-led-operation-23hGxi","26 people smugglers arrested in 10 days in a Frontex-led operation","2019-07-15"
"2nd-global-abc-conference-and-exhibition-jtGhmL","2nd Global ABC Conference and Exhibition","2013-06-20"
"439-stolen-cars-seized-in-12-days-as-part-of-frontex-led-operation-vvvirI","439 stolen cars seized in 12 days as part of Frontex-led operation","2019-10-14"
"5-900-people-saved-in-dramatic-rescue-operations-off-libyan-coast-hSgsmj","5 900 people saved in dramatic rescue operations off Libyan coast","2016-10-24"
"5-vessels-deployed-by-frontex-engaged-in-rescue-operations-in-central-mediterranean-sJnCVI","5 vessels deployed by Frontex engaged in rescue operations in Central Mediterranean","2017-06-28"
"500-stolen-cars-stopped-700-kg-of-heroin-seized-at-europe-s-borders-during-operation-led-by-frontex-eCbwW7","500 stolen cars stopped, 700 kg of heroin seized at Europe’s borders during operation led by Frontex","2018-10-11"
"540-000-migrants-arrived-on-greek-islands-in-the-first-10-months-of-2015-4uH4FJ","540 000 migrants arrived on Greek islands in the first 10 months of 2015","2015-11-10"
"5th-eu-anti-trafficking-day-was-held-in-warsaw-HU5qgh","5th EU Anti-Trafficking Day was held in Warsaw","2011-10-19"
"5th-meeting-of-contact-group-of-european-coastguard-functions-hosted-in-warsaw-ld13kn","5th Meeting of Contact Group of European Coastguard Functions hosted in Warsaw","2016-05-26"
"710-000-migrants-entered-eu-in-first-nine-months-of-2015-NUiBkk","710 000 migrants entered EU in first nine months of 2015","2015-10-13"
"a-sequel-of-operation-hera-just-starting-uy631h","A sequel of operation Hera just starting","2007-02-15"
"abc-conference-and-exhibition-6QJ0JK","ABC Conference and Exhibition","2013-10-07"
"abc-conference-and-exhibition-call-for-extended-abstracts-Dv1PaM","ABC Conference and Exhibition - Call for Extended Abstracts","2013-06-20"
"africa-frontex-intelligence-community-risk-analysis-course-held-in-spain-HpOyJZ","Africa-Frontex Intelligence Community risk analysis course held in Spain","2019-10-09"
"after-the-money-prices-for-people-smuggling-on-central-and-western-mediterranean-routes-EHDfJg","After the money: Prices for people smuggling on Central and Western Mediterranean routes","2020-06-23"
"agency-hosted-delegation-from-european-parliament-s-libe-committee-PjiqAW","Agency hosted delegation from European Parliament’s LIBE Committee","2017-02-22"
"analysis-of-w-balkans-number-of-syrians-quadrupled-in-q2-M5wDHk","Analysis of W. Balkans: Number of Syrians quadrupled in Q2","2015-09-04"
"analytical-report-for-the-first-quarter-of-2015-published-jejDJn","Analytical report for the first quarter of 2015 published","2015-07-08"
"annual-report-of-the-frontex-consultative-forum-on-fundamental-rights-published-V2Fmoa","Annual Report of the Frontex Consultative Forum on Fundamental Rights published","2017-05-12"
"annual-risk-analysis-2011-uGgHEQ","Annual Risk Analysis 2011","2011-05-11"
"annual-risk-analysis-2013-published-WuhFH2","Annual Risk Analysis 2013 published","2013-04-18"
"arrival-of-migrants-in-april-italy-higher-than-year-ago-numbers-in-greece-drop-jFLrEp","Arrival of migrants in April: Italy higher than year ago, numbers in Greece drop","2017-05-16"
"arrival-of-migrants-in-february-surge-in-italy-drop-in-greece-8F7H77","Arrival of migrants in February: surge in Italy, drop in Greece","2017-03-15"
"arrival-of-migrants-in-june-numbers-rising-in-italy-and-spain-OjEeS0","Arrival of migrants in June: Numbers rising in Italy and Spain","2017-07-20"
"arrival-of-migrants-in-march-italy-remains-under-pressure-greece-up-from-previous-month-a2sxof","Arrival of migrants in March: Italy remains under pressure, Greece up from previous month","2017-04-12"
"arrival-of-migrants-in-may-numbers-in-italy-and-greece-higher-than-month-ago-sA649y","Arrival of migrants in May: Numbers in Italy and Greece higher than month ago","2017-06-23"
"assets-deployed-in-operation-triton-involved-in-saving-3-000-migrants-since-friday-xmtkwU","Assets deployed in operation Triton involved in saving 3,000 migrants since Friday","2015-02-16"
"become-a-trainee-at-eu-s-most-dynamic-agency-1p07gA","Become a trainee at EU's most dynamic agency","2019-07-30"
"boat-carrying-13-tonnes-of-drugs-intercepted-as-part-of-operation-triton-QBbcCa","Boat carrying 13 tonnes of drugs intercepted as part of Operation Triton","2015-12-04"
"body-found-following-shooting-incident-aboard-smuggling-vessel-in-greece-KTWyC0","Body found following shooting incident aboard smuggling vessel in Greece","2015-08-30"
"border-management-cooperation-in-the-mediterranean-region-takes-centre-stage-at-frontex-conference-TqTTCo","Border management cooperation in the Mediterranean region takes centre stage at Frontex conference","2018-05-08"
"border-surveillance-demonstration-and-workshop-finland-2014-2kdd8a","Border Surveillance Demonstration and Workshop Finland 2014","2014-03-11"
"call-for-expressions-of-interest-pool-of-experts-on-automated-border-control-VYFdtf","Call for Expressions of Interest: Pool of Experts on Automated Border Control","2014-08-08"
"call-for-expressions-of-interest-pool-of-experts-on-automated-border-control-fyKXmZ","Call for Expressions of Interest: Pool of Experts on Automated Border Control","2013-04-12"
"call-for-extended-abstracts-for-conference-and-exhibition-on-biometrics-htB7uc","Call for Extended Abstracts for Conference and Exhibition on Biometrics","2017-05-30"
"call-for-papers-innovation-in-border-control--8E5Bzz","Call for papers “Innovation in Border Control”","2012-02-17"
"call-for-papers-workshop-on-innovation-in-border-control--ldg1VS","Call for papers “Workshop on Innovation in Border Control”","2013-01-16"
"call-for-white-papers-on-rapid-deployable-and-cost-effective-land-border-surveillance-systems-CHuzfH","Call for White papers on rapid deployable and cost-effective land border surveillance systems","2013-03-27"
"central-med-remained-under-migratory-pressure-in-may-9Wtxug","Central Med remained under migratory pressure in May","2016-06-15"
"coastex-2019-exercise-r6JjjB","COASTEX 2019 exercise","2019-06-06"
"commissioner-avramopoulos-at-ed4bg-Jo3Wow","Commissioner Avramopoulos at ED4BG","2015-05-22"
"commissioner-avramopoulos-visits-frontex-meets-with-agency-s-staff-dGUwSQ","Commissioner Avramopoulos visits Frontex, meets with agency’s staff","2019-10-01"
"commissioner-avramopoulos-visits-frontex-the-european-border-and-coast-guard-agency-Yi7nCt","Commissioner Avramopoulos visits Frontex, the European Border and Coast Guard Agency","2017-03-21"
"commissioner-malmstrom-visits-frontex-mhWHs6","Commissioner Malmström visits Frontex","2010-02-18"
"common-training-standards-for-the-eu-border-guard-services-1NyLhR","Common Training Standards for the EU Border Guard Services","2008-03-04"
"conference-and-exhibition-on-biometrics-on-the-move-2017-xG4APD","Conference and Exhibition on Biometrics on the move 2017","2017-06-21"
"conference-on-passenger-facilitation-for-improved-border-management-NbVGaQ","Conference on Passenger Facilitation for Improved Border Management","2011-04-27"
"conference-on-the-european-system-of-border-guards-ERdcZY","Conference on the European System of Border Guards","2013-10-07"
"conference-on-the-european-system-of-border-guards-lPkFl0","Conference on the European System of Border Guards","2013-07-22"
"conference-on-trafficking-in-human-beings-P9UejV","Conference on Trafficking in Human Beings","2009-02-27"
"congratulations-to-the-graduates-of-the-second-class-of-frontex-joint-master-s-programme-8CnRpk","Congratulations to the graduates of the second class of Frontex Joint Master’s programme","2019-06-28"
"consultative-forum-on-fundamental-rights-elects-chairpersons-at-inaugural-meeting-LEmmP6","Consultative Forum on Fundamental Rights elects Chairpersons at inaugural meeting","2012-10-16"
"consultative-forum-on-fundamental-rights-taking-shape-954HL0","Consultative Forum on Fundamental Rights taking shape","2012-09-06"
"covid-19-restrictions-4IdY3J","COVID-19 Restrictions","2020-03-26"
"current-situation-at-the-external-borders-of-the-eu-jan-spt-2010--JGiAoq","Current situation at the external borders of the EU (Jan-Spt 2010)","2010-11-17"
"danish-minister-meets-frontex-executive-director-QV2dpm","Danish Minister meets Frontex Executive Director","2015-07-20"
"december-figures-for-three-main-migratory-routes-into-eu-Cdzfw4","December figures for three main migratory routes into EU","2017-01-13"
"directors-of-three-eu-agencies-emsa-cfca-and-frontex-meet-in-warsaw-to-discuss-cooperation-dJ8XTR","Directors of three EU Agencies: EMSA, CFCA AND FRONTEX meet in Warsaw to discuss cooperation","2008-08-28"
"dramatic-rescue-operation-off-the-coast-of-libya-29-dead-EDomPH","Dramatic rescue operation off the coast of Libya - 29 dead","2015-02-10"
"drop-in-arrivals-to-the-eu-on-three-main-migratory-routes-in-january-qNS6lJ","Drop in arrivals to the EU on three main migratory routes in January","2017-02-13"
"easo-and-frontex-sign-updated-cooperation-plan-AlmmxV","EASO and Frontex sign updated Cooperation Plan","2019-07-18"
"eastern-borders-overview-2012-published-jC3fgK","Eastern Borders Overview 2012 published","2012-07-12"
"eastern-borders-risk-analysis-network-annual-overview-2011-NNU78B","Eastern Borders Risk Analysis Network Annual Overview 2011","2011-10-25"
"eastern-european-borders-annual-risk-analysis-2015-published-3HncmG","Eastern European Borders Annual Risk Analysis 2015 published","2015-05-18"
"enlarged-triton-helping-rescue-migrants-jumO29","Enlarged Triton helping rescue migrants","2015-05-04"
"eu-agencies-join-10-year-anniversary-of-eu-s-fundamental-rights-charter-oSO1Jx","EU Agencies join 10-year anniversary of EU’s Fundamental Rights Charter","2019-11-12"
