enlemma,Fréquence,2006,2007,2008,2009,2010,2011, 2012,2013,2014,2015,2016,2017,2018,2019,2020
border,1713,3,93,62,50,93,122,122,149,86,265,130,138,102,200,98
Frontex,1407,9,108,34,57,85,75,85,71,66,272,143,121,71,152,58
European,656,3,45,22,18,28,28,25,30,21,67,66,85,44,129,45
EU,655,5,47,28,22,40,64,46,32,47,107,71,45,31,48,22
migrant,650,4,16,3,7,13,49,49,12,26,241,110,35,22,46,17
operation,525,7,47,9,17,35,53,29,15,30,152,47,24,17,35,8
number,446,2,6,3,5,15,27,29,15,16,109,80,23,34,54,28
Member,375,4,74,15,13,25,53,25,16,11,45,27,11,11,25,20
year,372,1,8,2,1,9,15,23,20,16,71,48,37,44,53,24
States,356,4,70,16,13,23,48,25,13,11,43,26,11,9,26,18
